['4295027', '2018-03-01 18:42:31', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '9.80', '-71.00', '868.300', '51.918600', '4.245000', '5.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295071', '2018-03-01 18:44:01', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '10.00', '-67.00', '868.300', '51.918600', '4.245100', '10.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295097', '2018-03-01 18:45:01', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.20', '-65.00', '868.500', '51.918200', '4.244300', '15.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295124', '2018-03-01 18:46:02', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.00', '-76.00', '868.300', '51.918500', '4.245000', '8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295157', '2018-03-01 18:47:01', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-6.20', '-123.00', '868.100', '51.918500', '4.244800', '17.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295158', '2018-03-01 18:47:01', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '11.20', '-71.00', '868.100', '51.918500', '4.244800', '17.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295231', '2018-03-01 18:49:01', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-7.00', '-121.00', '868.300', '51.918400', '4.244700', '9.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295232', '2018-03-01 18:49:01', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.80', '-71.00', '868.300', '51.918400', '4.244700', '9.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295260', '2018-03-01 18:50:01', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '7.50', '-73.00', '868.500', '51.918500', '4.244900', '13.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295294', '2018-03-01 18:51:01', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-8.80', '-121.00', '868.300', '51.918500', '4.245000', '8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295606', '2018-03-01 19:02:32', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '7.80', '-49.00', '868.500', '51.918200', '4.245200', '67.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295607', '2018-03-01 19:02:32', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-2.50', '-119.00', '868.500', '51.918200', '4.245200', '67.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295667', '2018-03-01 19:05:04', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-6.50', '-110.00', '868.500', '51.918400', '4.245000', '10.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295668', '2018-03-01 19:05:04', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '7.00', '-49.00', '868.500', '51.918400', '4.245000', '10.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295697', '2018-03-01 19:06:04', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '7.20', '-46.00', '868.500', '51.918300', '4.245100', '54.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295772', '2018-03-01 19:08:03', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.00', '-95.00', '868.100', '51.918400', '4.249900', '-1.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4295773', '2018-03-01 19:08:03', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '2.50', '-112.00', '868.100', '51.918400', '4.249900', '-1.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519862400,Overcast,cloudy,19,5.49,10.33,0.68,1014.33,13.82,6.21,
['4304040', '2018-03-02 09:24:25', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-11.00', '-121.00', '868.300', '51.918500', '4.244800', '11.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519948800,Overcast,cloudy,24.28,13.04,11.17,0.57,1000.72,12.08,6.21,
['4304041', '2018-03-02 09:24:25', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '9.00', '-73.00', '868.300', '51.918500', '4.244800', '11.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519948800,Overcast,cloudy,24.28,13.04,11.17,0.57,1000.72,12.08,6.21,
['4304043', '2018-03-02 09:25:02', 'skylab_tracker_0002', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '-4.00', '-119.00', '868.500', '51.918400', '4.245100', '14.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519948800,Overcast,cloudy,24.28,13.04,11.17,0.57,1000.72,12.08,6.21,
['4304044', '2018-03-02 09:25:02', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '8.00', '-73.00', '868.500', '51.918400', '4.245100', '14.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519948800,Overcast,cloudy,24.28,13.04,11.17,0.57,1000.72,12.08,6.21,
['4304054', '2018-03-02 09:26:02', 'skylab_tracker_0002', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '11.20', '-71.00', '868.100', '51.918600', '4.245300', '-10.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519948800,Overcast,cloudy,24.28,13.04,11.17,0.57,1000.72,12.08,6.21,
