['1444347', '2017-04-28 17:54:00', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.20', '-109.00', '867.700', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444348', '2017-04-28 17:54:51', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.20', '-109.00', '868.300', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444349', '2017-04-28 17:56:21', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.80', '-108.00', '867.700', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444351', '2017-04-28 17:57:15', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.50', '-108.00', '868.300', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444352', '2017-04-28 17:57:33', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.80', '-109.00', '868.500', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444355', '2017-04-28 17:58:47', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.80', '-108.00', '867.700', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444356', '2017-04-28 17:59:06', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-9.00', '-108.00', '867.900', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444357', '2017-04-28 18:00:02', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.20', '-108.00', '868.500', '46.455718', '15.665314', '279.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444361', '2017-04-28 18:07:08', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.20', '-108.00', '868.300', '46.455718', '15.665314', '279.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1444362', '2017-04-28 18:07:26', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.80', '-108.00', '868.500', '46.455718', '15.665314', '279.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
